Text,Sentiment
"The man who is foodie like me for him arabian master is a nice place. Environment and food quality is too good. Specially their staffsâ€™ behaviour are so nice. Good environment, quality food and and suitable price with these arabian master is awesome in a word.",1
"you guys are awesome & I just love your ""offer pizza"" #tasty #Reasonableprice",1
"Went there after referred by a friend. Tried their ""Cheese cream pasta"" and it was totally worth it. They have a variety of set meals and pizzas. NB: To all those who already owe a treat to their friends, trust me this is the best option you have!",1
They served tasty and good quality food ï¿½,1
It is really a good place. Just awesome. Their behaviour is also good.Best hospitality. Food is also best.Every food really testy and reasonable price.This place is best for couples friends and family. Their interior design is looking so much beautiful..... Iloved everything,1
It is very good place..Foods are really tasty.. environment is good enough.. we can see the view of lalbag kella from here..behavior of all the staff is good and prices are reasonable..,1
most comfortable place ever for meh... specially their behavr is so frndlyyï¿½,1
So nice place had a great time loved itï¿½ï¿½ï¿½ So yummy pizza and pasta i like it so muchï¿½ï¿½ï¿½ Pizza price is so reasonable............,1
All the best Arabian Masterï¿½ï¿½ï¿½ I liked it.just carry onï¿½ï¿½ï¿½ï¿½ï¿½,1
Food was Assum Burger too good Arabian master will be the Master of all shop in old Town inshAllah,1
visit there frequently. almost like regular customer ï¿½. food quality is good and environment is also good. tested their pizza and set menu. totally trustworthy.... ï¿½,1
environment is better than any other restaurant in lalbagh. service is goood. bcz they give unlimited change evry time. you can try...,1
Nice and friendly environment.. Good food.. Set menus are best in my opinion. Keep it up.,1
Went there today for the first time unexpectedly. But the food was so yumm i didn't expected that and their service was way to fast than the others ï¿½ i liked it :),1
"their food quality and service is very good ï¿½ i just love their food ï¿½ï¿½ specially their cream pasta (10/10) ï¿½, chawmin (10/10) ï¿½",1
Everyone enjoyed lots of fun and chat with friends and birthday parties. Thanks to all of the Arabian master.,1
Pizza was nice i like it. My friends also like it.,1
Today I am going to there celebrating my frnd birth day totally amazingï¿½ï¿½ Food are really good so gyus pls going there and enjoy your day.....,1
Best place for family hangout. And food quality + quantity - 10/10 Thanks for everything Arabian Master.,1
"So yummy Pizza with reasonable price,also with discount & various offers.... Loved it ï¿½",1
Great food. Specially the BBQ Chicken. Everyone should visit and taste.,1
Bbq pizza is Love â¤ï¸ I visited many times there environment is also good,1
Simply the pizza was....cheeseeeeee.....wanna taste it again for sure...,1
Great place... There behaviour is too good... Keep going...,1
nice place to hangout...service was good......... :),1
"Great food, Specially the BBQ (Lollipop) Chicken, Everyone should visit and taste.",1
Amazing food and great hospitality .Really impressed ï¿½,1
awesome.............................................,1
"yyyaaammee food, good survice. thanx 2 woner of Arabian Masterï¿½ï¿½ï¿½ï¿½ï¿½",1
Foods r just awesome !! If u don't try it then you gonna miss it..,1
My 1st home delivery frm dm nyc n fast... n de pizza was mouthwatering yummm....,1
Fantastic food !,1
Valo,1
Kisu bolar nai 100/100 Khowar test onek vlo Love it....,1
It's food quality is very good and so delicious...,1
"All says Arabian master is mah 2nd Bari Ghar.... M loved thr food... N abt service?? All thr staff r lyk mah younger brother,,, #badol_Vai iz mah too much closer brother... n #Tareq_Vai (owner) unake nye r kichu ble lojja dbo naah... Jst thnq thnq brother foh open such an amazing side.... ï¿½ ï¿½",1
Very nice............... I love it,1
"Yummy food, the service satisfied me. I loved it....",1
Nice place in lalbagh ... Love da foods,1
"Good food. Excellent personalized service by Mr. Pear Ahmed, Assistant Restaurant Manager. Keep up the great food and service!",1
The Jamaican grill chicken one is celestial. Love that one. Always go back to BB.Q for that. I find it to be a bit pricy but it's worth it.,1
excellent it was... we had our friends gettogether party here... food portion was enough service was vry friendly,1
best chicken in town... must try if you love juicy chicken.,1
Fantastic food . Must try the Korean platter. Best wishes to them,1
The ongoing buy 1 get one free is a very good offer. This place serves up to the standard Korean style chicken items along with some more good stuff. Highly recommend for chicken lovers.,1
Love this place .Very nice environment and people.They got some of my favorites so this is my most recommended restaurant...,1
Review! Service 100 % (waiter sumit) Food 91 % Excellent experience @bbq.bangladesh Gulshan 2.,1
Great service! Great food!,1
Food quality ager theke onek baje... Service thik asche.. I think food quality next time valo hobe #bbq_gulshan,1
Good Food ï¿½ & Great Service. Been coming here for years & the best thing is that they are consistent in their food quality & service :),1
They serve the best chicken in town! Happy with the service and the food,1
"Amazing ambience, loved the smoking zone. Food was also amazing served in due time.",1
Best service,1
Quality food ï¿½ awesome ï¿½ environment best service,1
I loved it,1
nice,1
Awesome :D,1
"impressive service and food quality,Keep growing with quality.",1
"Chicken tastes great, so delicious, love their chicken items",1
Excellent food ðŸ¥˜ ðŸ˜Š very good customer service ðŸ˜Š,1
ï¿½,1
Loved the food !!............................................,1
"I had been there a few times .. May be its my taste buds, anyways I really enjoyed the Jamaican Grill, Veg Fried Rice, Green Apple Juice .. Excellent food comes with very friendly service .. Two thumbs up ..",1
Food is the best standard in bangladesh. Atmostfare is very polished. Service is excellent.,1
Xoss place ï¿½ Good atmosphere ï¿½ I personally liked it ï¿½,1
