Text,Sentiment
পিজাটা চমৎকার ছিল । আমি এবং আমার বন্ধুদের এটি পছন্দ হয়েছে ।,1
এরাবিয়ান মাস্টারের  অভ্যন্তরীণ সজ্জাটা অনন্য। এটির খাদ্য সুস্বাদু এবং একটু মসলাযুক্ত .. তাদের কর্মীরা খুব বন্ধুত্বপূর্ণ।,1
কোরিয়ান এবং জামাইকান BBQ উপভোগ করার জন্য একটি চমৎকার জায়গা ।,1
BBQ এর মেনুগুলো সেরা।,1
শ্রেষ্ঠ স্বাদ ..... খাবারের মানও ভাল  ....,1
সেরা পরিবেশ সঙ্গে শ্রেষ্ঠ স্বাদ। একেবারে প্রিমিয়াম মুরগি।,1
সত্যিই খেতে দারুণ টেস্ট !!! আমি শুধু  BBQ ভালবাসি। খাবারটা অসাধারণ। আমি ওই জায়গায় যেতে ভালোবাসি। BBQ সব চেয়ে ভাল।,1
মহান খাদ্য বাহ ভাল বাহ সঙ্গে মহান সেবা .......................................... ..................................................,1
অসাধারণ এবং সুস্বাদু খাদ্য ... ভাল সার্ভিস এবং নিশ্চিত যে জায়গাটা সেরা! :) কোরিয়ান char boiled chicken ভালোবাসি।,1
গরম এবং মসলাযুক্ত চিকেন ফ্রাইটা পছন্দনীয়। চমৎকার পরিবেশ এবং আতিথেয়তা। আমি এটিকে  ঢাকায় শীর্ষস্থানীয় রেস্তোরাঁর মধ্যে রেটিং দিব ।,1
ব্রিলিয়ান্ট......।।,1
charboiled চিকেনটা অসাধারণ। অপূর্ব.........।!,1
"এটা সত্যিই একটি ভাল জায়গা। তুলনাহীন. তাদের আচরণও ভাল। সেরা আতিথেয়তা। খাদ্য ভাল। প্রতিটি খাদ্য সত্যিই  মজাদার এবং যুক্তিসংগত মূল্য। এই জায়গাটি দম্পতি, বন্ধু এবং পরিবারের জন্য ভাল। তাদের অভ্যন্তর নকশা খুব সুন্দর  ..... আমার সবকিছুই পছন্দ হয়েছে।",1
"অপূর্ব খাবার, গ্রেট সার্ভিস... !!",1
"এটা ডিনারের জন্য সত্যিই ভাল জায়গা, জ্যামাইকান এবং কোরিয়ান চিকেন উভয়ের টেস্টই ভাল ছিল ..... কম্বিনেশন পিজাটা ছিল দুর্দান্ত। আবার সেখানে যেতে পারলে ভালো লাগবে :)",1
ভাল খাবার এবং চমৎকার সেবা...।,1
"BBQ বাংলাদেশকে এক কথায় বর্নণা করার সহজ শব্দ হচ্ছে "" অসাধারণ এবং নিখুত খাবারের ঐতিহ্য""",1
ভালোবাসি!,1
সুস্বাদু। খাবারটা সত্যিই অনেক ভাল। তাদের  তৈরি mashed আলুটা অসাধারণ ছিল।,1
সুস্বাদু!,1
অপূর্ব খাবার!..............................,1
একেবারে ভালোবাসি!  খাবারটা  এত তাজা এবং সুস্বাদু ছিল! সম্ভবত এই মুহুর্তে ঢাকায় সেরা খাওয়ার একটি জায়গা।,1
অসাধারণ খাবার......!!!!!,1
এটি খুব ভাল জায়গা .. খাবার সত্যিই সুস্বাদু .. পরিবেশও যথেষ্ট ভাল .. আমরা এখানে থেকে লালবাঘ কেলার দৃশ্য দেখতে পারি .. সমস্ত কর্মীদের আচরণ ভাল এবং দামও যুক্তিসঙ্গত .,1
এই জায়গা একটি বোম্ব......।।জোস...।,1
চমত্কার,1
আজ রাতে BBQ তে আমার পরিবারের সাথে একটি অপূর্ব ডিনার ছিল এবং খাবারগুলো খুব সুস্বাদু ছিল।,1
শুধু 5 স্টার দেয়ার জন্য নিজেকে আর থামাতে পারছিনা।ভাল জায়গা । দারুণ খাবার :),1
চিকেনটা জাস্ট ওয়াওওওও......।,1
